unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
kumavatnisha20@gmail.com,2000_9,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,3.77,4.05,
kumavatnisha20@gmail.com,2000_5,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,6.74,,8.76
kumavatnisha20@gmail.com,2000_5,126005600,126002400,18E - Lincoln Tunnel/NJ 3/Secaucus,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,36.02,39.45,
kumavatnisha20@gmail.com,2000_5,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,6.74,,8.76
kumavatnisha20@gmail.com,1000_0,126003000,126003200,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T14:36:38Z,2023-12-10T14:36:38Z,3.19,3.65,
kumavatnisha20@gmail.com,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-10T14:36:38Z,2023-12-10T14:36:38Z,3.77,4.05,
kumavatnisha20@gmail.com,1000_0,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T14:36:38Z,2023-12-10T14:36:38Z,3.77,4.05,
kumavatnisha20@gmail.com,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-10T14:36:38Z,2023-12-10T14:36:38Z,3.77,4.05,
kumavatnisha20@gmail.com,1000_1,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-10T14:36:37Z,2023-12-10T14:36:37Z,100,,201.8
kumavatnisha20@gmail.com,1000_1,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-10T14:36:37Z,2023-12-10T14:36:37Z,100,,201.8
